image;total_calories;total_fat;total_carb;total_protein;total_mass
dish_1560973936.png;75.243.256;5.829.186;6.022.747;1.078.271;44.0
dish_1560961179.png;153.919.998;11.44;1.664;10.400.001;104.0
dish_1562602832.png;144.182.281;5.482.155;15.514.251;9.786.214;188.0
dish_1560370137.png;89.644.272;700.289;5.694.383;2.551.919;104.0
dish_1565107119.png;426.374.634;13.054.049;24.603.952;4.555.122;562.0
dish_1558641037.png;60.839.996;0.234;16.379.999;0.351;117.0
dish_1559158354.png;21.0;0.24;4.2;1.44;60.0
dish_1561737200.png;478.582.001;32.230.999;5.929;37.081.001;262.0
dish_1560800836.png;479.399.994;20.4;54.399.998;20.4;170.0
dish_1565711527.png;484.807.251;32.015.488;3.392.815;18.478.689;302.0
dish_1558380181.png;374.936.005;18.373.999;32.721.001;29.021.999;313.0
dish_1562010865.png;37.624.295;26.149.803;7.233.953;28.117.785;216.0
dish_1562085672.png;122.084;1.932;19.458;6.21;46.0
dish_1558641358.png;24.25;0.291;4.85;1.746;97.0
dish_1559581236.png;296.926.727;21.685.364;4.042.251;19.817.259;212.0
dish_1558721827.png;886.523.071;66.524.002;59.541;32.415.001;429.0
dish_1561666923.png;53.963.855;22.059.612;55.690.098;34.942.749;425.0
dish_1562788506.png;114.587.997;2.592;23.76;3.348;108.0
dish_1558632445.png;526.070.984;45.045.002;20.657;20.384.001;91.0
dish_1562774180.png;164.083.557;6.538.097;24.856.129;3.047;181.0
dish_1561577731.png;274.257.721;13.256.033;1.337.958;26.309.046;334.0
dish_1558463690.png;43.295.401;32.034;30.032.001;15.807;241.0
dish_1558642458.png;23.0;0.276;4.6;1.656;92.0
dish_1559844611.png;55.889.999;0.162;14.580.001;0.567;81.0
dish_1565811588.png;348.484.161;21.454.355;7.568.845;31.213.434;263.0
dish_1563206601.png;293.797.668;9.194.207;17.494.774;30.980.963;337.0
dish_1564589025.png;48.810.734;1.243.902;8.956.099;0.497561;51.0
dish_1567537280.png;733.018.555;34.708.237;51.064.735;51.275.162;404.0
dish_1561060503.png;14.530.899;3.984;22.781;5.407;138.0
dish_1559233144.png;398.063.995;29.666;3.722;27.729;198.0
dish_1563220767.png;265.894.379;14.748.608;4.812.823;26.540.918;130.0
dish_1565727765.png;26.32;0.308;5.237;1.83;77.0
dish_1561661377.png;306.333.679;8.972.795;11.854.835;43.735.157;294.0
dish_1562963153.png;386.477.264;33.622.898;28.585.857;35.674.641;521.0
dish_1565378770.png;319.280.365;11.794.086;36.280.937;19.016.382;287.0
dish_1565640868.png;39.597.998;13.601.999;19.803.999;49.051.003;406.0
dish_1560887457.png;389.264.343;1.428.046;48.705.952;17.193.094;246.0
dish_1563909982.png;370.793.976;22.314.623;16.470.776;27.836.025;318.0
dish_1563304261.png;30.210.915;1.181.061;3.101.745;2.293.849;37.0
dish_1562008517.png;401.729.523;11.505.786;54.154.385;21.236.305;370.0
dish_1564429270.png;605.507.202;39.626.583;3.081.835;43.046.116;354.0
dish_1558724031.png;358.710.999;25.801.001;25.789.999;14.067;303.0
dish_1561574600.png;32.980.392;1.176.471;5.784.314;0.980392;100.0
dish_1564601470.png;15.841;0.073;3.723;0.511;73.0
dish_1558378634.png;874.966.003;64.777;44.301.998;37.979;315.0
dish_1560367698.png;556.721.252;26.010.103;33.583.664;43.318.321;295.0
dish_1559678457.png;624.236.084;3.750.322;29.983.656;43.010.422;465.0
dish_1560975572.png;96.990.005;2.158;16.068.001;5.584;159.0
dish_1560527745.png;87.761.002;0.596;5.364;14.900.001;149.0
dish_1567106794.png;102.338.257;10.138.825;1.695.728;2.020.698;48.0
dish_1562774129.png;73.083.549;2.898.097;11.336.127;1.539;77.0
dish_1567024112.png;274.075.806;10.111.193;29.513.386;15.335;116.0
dish_1562009098.png;70.080.002;4.608;1.824;7.68;96.0
dish_1565036788.png;18.612.999;6.58;23.450.001;7.84;70.0
dish_1564159636.png;487.873.688;37.411.686;5.267.181;314.161;134.0
dish_1561392543.png;126.004.929;8.808.466;12.171.466;0.9586;119.0
dish_1561405389.png;265.983.459;8.393.058;12.105.439;34.985.947;223.0
dish_1563823814.png;25.585.732;0.920258;4.275.406;0.587577;85.0
dish_1558630932.png;292.643.982;17.381.001;32.048;9.644;265.0
dish_1566332116.png;153.550.003;12.244;11.356;3.761;275.0
dish_1566847454.png;346.747.437;16.620.152;20.658.922;27.281.824;210.0
dish_1562789328.png;656.551.575;27.782.553;69.703.827;40.745.659;503.0
dish_1559678127.png;108.642.006;7.418.569;9.871.039;3.004.627;170.0
dish_1558725286.png;816.792.053;65.965.004;40.704.002;33.318.001;308.0
dish_1564685144.png;261.625;129.875;34.125;0.8775;50.0
dish_1562613376.png;371.963.898;2.407.642;16.677.065;23.388.559;267.0
dish_1568060414.png;53.598.557;2.133.646;7.950.584;2.632.836;146.0
dish_1566934430.png;519.542.847;43.782.825;37.582.497;49.058.041;361.0
dish_1558629644.png;4.2;0.06;0.795;0.33;15.0
dish_1559925083.png;125.135.506;4.271;16.966.999;4.623;81.0
dish_1565884692.png;212.159.988;0.816;2.856;40.799.999;408.0
dish_1565021599.png;206.959.991;0.796;2.786;39.799.999;398.0
dish_1558547124.png;144.525.009;12.375;5.675;5.6;25.0
dish_1562008842.png;355.759.705;24.022.318;17.568.413;19.549.057;294.0
dish_1558381143.png;182.638;14.469;2.226;10.229;53.0
dish_1558722322.png;37.720.001;0.184;9.2;0.828;92.0
dish_1562958809.png;511.673.645;24.147.148;44.695.526;28.865.578;389.0
dish_1567785165.png;273.112.488;19.671.967;1.147.429;12.889;116.0
dish_1558110297.png;29.07;0.153;7.14;0.357;51.0
dish_1558550079.png;73.839.996;0.284;19.879.999;0.426;142.0
dish_1558718587.png;10.25;0.123;2.05;0.738;41.0
dish_1563464457.png;158.990.005;7.518;16.837.999;7.252;163.0
dish_1561049435.png;338.179.993;22.427;13.217.999;20.822.001;257.0
dish_1568061320.png;535.839.905;19.667.326;48.117.958;41.280.106;491.0
dish_1563824406.png;474.136.047;28.472;17.138;39.376.999;387.0
dish_1559593646.png;55.385.956;4.106.483;405.874;1.123.272;37.0
dish_1562603569.png;121.679.504;7.050.731;8.625.269;5.648.293;62.0
dish_1562774980.png;136.680.008;2.814;24.119.999;4.824;201.0
dish_1558468285.png;12.32;0.176;2.332;0.968;44.0
dish_1558640294.png;42.400.002;0.368;9.554;1.598;184.0
dish_1566328776.png;901.810.059;28.684.999;78.293.999;77.723.999;436.0
dish_1558638896.png;22.68;0.252;4.914;1.134;126.0
dish_1557863056.png;75.200.005;7.05;4.23;0.94;47.0
dish_1560356314.png;30.544.943;2.913.618;0.948529;0.575824;27.0
dish_1565379788.png;49.649.929;1.194.949;9.962.658;0.897363;101.0
dish_1563909469.png;72.402.824;6.906.353;2.248.366;1.364.915;64.0
dish_1559239912.png;60.16;0.128;15.36;1.152;128.0
dish_1558640373.png;105.880.005;0.552;26.114;2.242;276.0
dish_1559172356.png;313.103.912;15.885.429;6.928.988;32.684.391;176.0
dish_1562875898.png;271.116.394;18.015.085;28.964.979;23.360.405;342.0
dish_1561060642.png;468.412.384;18.522.783;39.183.205;3.667.416;387.0
dish_1560889061.png;40.250.766;22.432.436;1.332.338;37.306.126;281.0
dish_1560801773.png;13.5;0.162;2.7;0.972;54.0
dish_1562689645.png;302.431.702;22.386.829;459.483;2.000.634;169.0
dish_1567625392.png;208.233.475;14.530.067;18.900.763;4.826.312;171.0
dish_1565207662.png;145.937.561;11.480.614;12.175.006;14.462.402;128.0
dish_1565020895.png;348.126.129;10.233.284;43.375.961;20.961.317;416.0
dish_1564073641.png;49.767.807;1.268.293;9.131.708;0.507317;52.0
dish_1566931140.png;126.700.005;8.976;12.23;3.696;199.0
dish_1561145732.png;19.698;0.067;5.025;0.402;67.0
dish_1558030435.png;246.940.002;11.115;24.954;11.915;221.0
dish_1561662054.png;419.438.782;23.838.249;26.351.543;25.910.593;292.0
dish_1566934455.png;528.042.908;43.884.827;39.282.497;49.670.044;395.0
dish_1563395449.png;21.463.649;6.977.337;2.968.194;9.570.897;222.0
dish_1567612954.png;148.346.344;3.780.488;27.219.513;1.512.195;155.0
dish_1559846334.png;126.172.005;0.329;32.792;1.572;233.0
dish_1557937037.png;25.969.999;0.343;5.88;0.588;49.0
dish_1562688482.png;193.459.991;8.417.999;19.77;10.864;169.0
dish_1562876732.png;350.566.833;13.169.589;36.560.165;27.639.404;291.0
dish_1564170880.png;348.557.159;15.413;22.931.355;28.944.201;230.0
dish_1562875159.png;260.680.023;9.506.001;32.34;10.78;98.0
dish_1560453356.png;389.068.359;15.162.277;20.451.496;40.626.755;408.0
dish_1563820806.png;207.814.453;419.148;10.491.399;31.381.857;273.0
dish_1558029278.png;146.069.992;11.339.999;0.378;9.99;27.0
dish_1558641897.png;116.709.999;2.64;24.200.001;3.41;110.0
dish_1566931519.png;130.130.005;10.101.001;10.556;2.73;182.0
dish_1558640808.png;10.66;0.052;2.6;0.234;26.0
dish_1558636483.png;80.079.994;0.308;21.559.999;0.462;154.0
dish_1561753238.png;298.034.393;1.371.139;14.026.631;28.881.098;333.0
dish_1558720364.png;73.839.996;0.284;19.879.999;0.426;142.0
dish_1558376734.png;20.676.001;16.380.001;2.52;11.58;60.0
dish_1558115867.png;132.962.997;11.385;5.221;5.152;23.0
dish_1565711358.png;490.052.887;11.036.756;52.238.358;40.309.227;658.0
dish_1560270585.png;43.800.003;0.18;11.256;0.636;114.0
dish_1565711270.png;31.620.001;0.186;7.44;0.744;93.0
dish_1563303386.png;274.131.439;9.224.976;17.535.269;29.455.162;218.0
dish_1560889008.png;41.293.011;0.993819;8.285.774;0.746322;84.0
dish_1564429843.png;395.729.828;11.635.026;52.371.742;21.758.062;474.0
dish_1559235771.png;145.800.003;4.32;21.762.001;50.328;54.0
dish_1559244546.png;469.942.139;13.549.142;6.330.505;75.774.841;281.0
dish_1562010891.png;43.874.292;26.274.799;23.483.953;28.742.785;341.0
dish_1563389042.png;30.478.174;0.733533;6.115.691;0.550856;62.0
dish_1565987269.png;119.654.999;4.23;15.075.001;5.04;45.0
dish_1565637504.png;28.0;0.056;7.28;0.28;56.0
dish_1566851222.png;550.827.515;24.320.635;5.379.369;2.952.721;375.0
dish_1560369102.png;69.738.571;5.188.934;4.877.475;2.574.234;121.0
dish_1562959295.png;3.04;0.019;0.646;0.133;19.0
dish_1562777000.png;195.360.001;14.52;2.112;13.2;132.0
dish_1561576618.png;57.924.408;2.318.721;8.419.776;1.749.612;188.0
dish_1563389742.png;569.417.969;29.556.002;30.394.001;48.338.997;556.0
dish_1565637548.png;93.436.127;2.244.349;1.665.864;2.245.049;102.0
dish_1558379128.png;36.57;0.106;9.54;0.371;53.0
dish_1560367676.png;430.621.216;25.719.105;642.366;40.699.318;198.0
dish_1561752509.png;321.482.025;16.378.078;18.148.424;25.445.457;224.0
dish_1559844090.png;168.430.008;0.593;43.579.998;1.771;331.0
dish_1559850283.png;271.707.001;23.264.999;10.669;10.528;47.0
dish_1561579505.png;31.5;0.378;6.3;2.268;126.0
dish_1564773903.png;316.827.545;16.086.779;25.091.196;19.580.328;336.0
dish_1568320470.png;521.038.635;2.496.809;44.141.685;29.330.261;341.0
dish_1564086748.png;44.377.182;16.095.446;54.915.268;2.356.855;339.0
dish_1562945900.png;240.695.312;6.314.645;42.813.194;6.927.001;281.0
dish_1561752563.png;373.507.965;1.829.771;24.707.659;2.935.907;367.0
dish_1558031628.png;31.280.001;0.184;7.36;0.736;92.0
dish_1562698100.png;240.219;1.064.365;2.783.724;0.736868;83.0
dish_1563897938.png;54.099.998;4.2;0.14;3.7;10.0
dish_1563566810.png;392.292.175;18.451.838;51.255.371;9.994.014;331.0
dish_1560802149.png;365.517.456;17.394.941;10.470.455;39.855.083;249.0
dish_1568056217.png;480.779.968;12.261.999;13.921;75.537.003;427.0
dish_1558723449.png;74.360.001;0.286;20.02;0.429;143.0
dish_1566934152.png;305.065.247;15.832.462;11.562.181;29.805.676;396.0
dish_1558379182.png;323.736.023;27.720.001;12.712;12.544.001;56.0
dish_1558725621.png;349.220.032;25.268.999;23.760.002;15.818.001;223.0
dish_1565725071.png;109.659.996;5.0;16.572.001;2.546;190.0
dish_1563984771.png;582.809.204;38.258.389;17.855.515;41.124.001;388.0
dish_1563478751.png;950.395.081;45.303.986;54.133.282;74.772.202;545.0
dish_1565898193.png;291.914.032;14.644.992;12.845.702;26.551.004;268.0
dish_1560887480.png;668.084.106;30.156.406;53.686.604;43.585.083;374.0
dish_1559674781.png;81.660.004;0.229;20.610.001;1.067;203.0
dish_1558638954.png;89.010.002;0.258;23.220.001;0.903;129.0
dish_1558640074.png;60.32;0.232;16.24;0.348;116.0
dish_1561666619.png;35.880.001;0.104;9.360.001;0.364;52.0
dish_1559841950.png;11.2;0.128;2.24;0.768;32.0
dish_1567106870.png;504.820.892;27.284.149;38.667.736;25.230.873;211.0
dish_1568401064.png;787.709.961;31.225.998;18.445.999;108.667.999;572.0
dish_1563389114.png;86.534.439;4.405.479;11.310.716;2.577.627;148.0
dish_1563206582.png;229.248.688;4.417.208;16.967.773;26.033.964;320.0
dish_1566402041.png;231.919.998;0.892;3.122;44.600.002;446.0
dish_1560366963.png;7.56;0.084;1.638;0.378;42.0
dish_1563997386.png;215.884.918;15.762.681;18.095.463;4.212.677;238.0
dish_1564777960.png;331.007.507;16.715.342;16.270.294;264.312;147.0
dish_1561576887.png;15.500.784;0.552941;2.718.627;0.460784;47.0
dish_1558372650.png;57.27;0.166;14.940.001;0.581;83.0
dish_1565808975.png;35.720.001;0.204;7.926;1.282;130.0
dish_1558724799.png;142.669.998;1.007;34.330.002;4.593;352.0
dish_1562603598.png;175.259.506;7.332.731;21.785.269;6.306.293;156.0
dish_1558719514.png;433.285.004;24.713.001;49.695.995;14.859;430.0
dish_1561480391.png;64.409.996;0.339;15.82;0.791;113.0
dish_1562959059.png;36.576.358;2.198.443;36.174.995;22.950.008;216.0
dish_1558725253.png;33.950.001;0.388;6.79;2.328;97.0
dish_1562963289.png;349.917.969;12.685.999;43.364.002;15.52;180.0
dish_1567801520.png;919.097.168;42.248.199;53.029.022;79.971.626;600.0
dish_1558381084.png;36.57;0.106;9.54;0.371;53.0
dish_1561392710.png;31.800.001;0.212;8.056;0.636;106.0
dish_1563219035.png;410.209.686;21.875.057;20.186.846;32.027.081;221.0
dish_1563216440.png;403.786.346;6.472.354;39.857.891;44.691.349;352.0
dish_1564690085.png;170.615.997;5.857.383;22.279.419;9.364.126;143.0
dish_1558723960.png;13.0;0.156;2.6;0.936;52.0
dish_1567020340.png;93.588.287;475.317;1.147.317;3.933.659;168.0
dish_1562785132.png;211.542.679;246.008;10.392.798;28.955.555;192.0
dish_1558723777.png;74.360.001;0.286;20.02;0.429;143.0
dish_1558376306.png;372.167.999;29.484.001;4.536;20.844;108.0
dish_1566838286.png;72.5;0.145;18.849.998;0.725;145.0
dish_1560802730.png;101.702.484;2.801.806;226.971;16.082.962;64.0
dish_1564516760.png;442.728.943;19.221.478;11.774.262;52.757.278;329.0
dish_1561574815.png;74.852.959;6.637.806;3.246.844;1.653.304;89.0
dish_1559157919.png;37.094.574;3.328.461;1.523.364;0.990958;39.0
dish_1562774475.png;320.963.989;22.848.999;13.518.001;14.556.001;128.0
dish_1563551194.png;471.643.555;14.045.855;57.670.921;27.842.804;400.0
dish_1562010929.png;457.265.839;27.095.516;2.563.044;29.310.972;405.0
dish_1562086564.png;286.809.998;14.985;25.362;14.44;287.0
dish_1562613285.png;111.744.507;7.762.758;966.468;2.126.515;84.0
dish_1568660810.png;132.539.993;5.64;15.04;5.64;47.0
dish_1566417442.png;93.830.536;6.675.509;8.566.475;1.890.686;158.0
dish_1558031133.png;13.651.001;0.22;32.34;1.76;110.0
dish_1558028007.png;54.669.998;0.071;12.07;1.42;71.0
dish_1562603536.png;75.739.998;5.88;0.196;5.18;14.0
dish_1563464389.png;91.970.001;7.14;0.238;6.29;17.0
dish_1568404850.png;157.699.997;2.2;29.9;4.7;100.0
dish_1563900120.png;46.896.584;1.195.122;8.604.878;0.478049;49.0
dish_1563568338.png;631.706.665;29.600.521;57.599.113;38.704.674;371.0
dish_1561405934.png;287.331.848;11.362.256;21.346.516;25.268.143;243.0
dish_1559845046.png;313.625.977;18.192.999;31.922.001;10.976;207.0
dish_1559232986.png;189.349.991;14.7;0.49;12.95;35.0
dish_1565809120.png;365.630.005;1.734;22.898.001;63.227.997;502.0
dish_1560444985.png;198.937.866;10.095.443;24.075.623;5.127.491;264.0
dish_1563218031.png;419.769.562;17.155.958;17.798.939;47.788.559;426.0
dish_1564601528.png;142.740.997;6.193;19.923;2.401;163.0
dish_1564429894.png;498.769.836;11.819.027;73.531.738;25.254.065;566.0
dish_1563913627.png;230.333.145;1.001.525;26.731.916;8.362.399;109.0
dish_1565383128.png;600.278.931;39.396.999;14.009;50.022.999;456.0
dish_1563550614.png;132.824.387;1.753.415;11.551.586;15.085.366;205.0
dish_1563221025.png;245.445.801;12.988.835;4.359.616;2.594.677;123.0
dish_1563551164.png;339.756.073;8.327.854;46.757.149;17.756.741;270.0
dish_1561663855.png;179.138.412;7.395.212;14.409.589;1.528.675;139.0
dish_1564171970.png;498.821.136;21.673.965;33.298.721;42.539.974;396.0
dish_1566502061.png;408.339.417;18.961.866;33.701.878;28.911.758;385.0
dish_1564169878.png;732.513.428;36.986.099;36.232.471;63.006.413;341.0
dish_1561580406.png;203.281.494;7.524.766;17.318.661;17.090.221;171.0
dish_1565034281.png;228.459.991;9.433.001;32.330.002;5.901;306.0
dish_1567789154.png;382.506.012;30.302.999;4.662;21.423;111.0
dish_1561405411.png;332.063.477;8.511.059;2.567.544;37.227.947;282.0
dish_1560888930.png;224.931.168;7.066.031;17.505.606;2.153.792;151.0
dish_1559060055.png;26.730.001;0.243;6.48;0.567;81.0
dish_1563900172.png;236.636.597;12.947.122;1.836.488;11.786.048;255.0
dish_1562876618.png;114.336.998;4.042;14.405.001;4.816;43.0
dish_1559845513.png;222.152.008;0.563;55.181.995;3.221;379.0
dish_1565032748.png;544.310.486;36.203.651;28.482.351;26.841.993;435.0
dish_1563908923.png;49.279.999;2.352;4.816;3.584;112.0
dish_1560539314.png;165.738.342;18.348.402;6.327.587;20.611.412;158.0
dish_1565984345.png;210.357.925;9.083.899;20.663.086;14.688.022;353.0
dish_1568056046.png;88.080.002;3.694;13.921;1.757;189.0
dish_1565711570.png;603.827.271;41.255.486;34.236.149;2.661.869;324.0
dish_1558114609.png;54.089.801;41.223;14.648.001;29.140.001;160.0
dish_1560802853.png;136.532.196;3.307.635;876.357;16.906.691;118.0
dish_1563217804.png;492.934.601;25.171.036;22.654.509;4.478.577;459.0
dish_1558631904.png;80.079.994;0.308;21.559.999;0.462;154.0
dish_1562860073.png;357.809.998;21.688;20.958;20.001.999;259.0
dish_1559235815.png;35.239.502;16.284;31.334.002;19.628.799;268.0
dish_1566328805.png;927.809.998;28.737;85.054.001;77.984.001;488.0
dish_1561739760.png;452.163.513;5.190.096;98.616.127;12.599.001;937.0
dish_1568060722.png;460.579.987;17.008.001;12.233;64.398.003;359.0
dish_1563206409.png;443.463.837;33.371.906;4.392.429;29.678.574;277.0
dish_1566501153.png;1.006.917.969;83.761.002;17.909;50.879.002;419.0
dish_1560976044.png;124.670.006;0.685;26.167;5.754;137.0
dish_1563220058.png;146.639.999;6.24;16.639.999;6.24;52.0
dish_1559319860.png;70.330.002;5.46;0.182;4.81;13.0
dish_1566413388.png;207.429.993;4.22;6.886;35.307.003;231.0
dish_1560444637.png;509.321.014;31.757;25.587.999;29.480.999;285.0
dish_1563479596.png;104.373.558;5.351.235;12.756.775;3.778.007;151.0
dish_1559060106.png;206.369.995;8.643;23.68;8.907.001;195.0
dish_1561663606.png;474.503.387;10.804.142;40.144.989;52.672.283;347.0
dish_1559841891.png;163.962.006;0.343;43.332.001;1.301;272.0
dish_1561737776.png;375.299.988;11.120.001;56.017.002;12.954.802;139.0
dish_1558029148.png;38.880.001;0.108;9.72;0.54;108.0
dish_1564073716.png;214.527.802;6.074.293;11.192.709;24.807.318;295.0
dish_1562788845.png;529.483.459;25.366.417;46.558.498;39.395.699;372.0
dish_1566849208.png;19.6;0.28;3.71;1.54;70.0
dish_1565810205.png;126.965.538;9.058.967;4.217.971;1.067.575;153.0
dish_1558719336.png;24.25;0.291;4.85;1.746;97.0
dish_1563307575.png;671.082.031;38.148.251;2.506.155;53.939.724;419.0
dish_1566931674.png;990.989.014;76.803.001;23.140.001;58.401.997;531.0
dish_1558723695.png;95.489.998;2.16;19.799.999;2.79;90.0
dish_1562790224.png;312.749.756;30.397.385;7.830.093;6.847.874;116.0
dish_1559844951.png;274.335.999;17.906;22.792;9.784;122.0
dish_1566931217.png;333.108.673;29.458.878;21.469.036;21.408.707;378.0
dish_1563913588.png;180.811.996;6.392;22.780.001;7.616;68.0
dish_1562787983.png;56.760.002;1.457;9.663;2.656;149.0
dish_1562700885.png;29.25;0.351;5.85;2.106;117.0
dish_1558030832.png;89.352.005;0.144;21.167.999;1.152;72.0
dish_1566589967.png;381.661.957;161.381;13.400.992;4.694.825;322.0
dish_1566330466.png;377.425.903;16.740.232;2.528.451;301.614;283.0
dish_1562958721.png;125.724.831;3.698.547;21.363.926;2.161.744;167.0
dish_1558641253.png;116.709.999;2.64;24.200.001;3.41;110.0
dish_1563811686.png;319.428.375;17.312.544;25.879.768;16.288.153;331.0
dish_1561740321.png;52.980.408;5.462.205;1.063.661;0.275927;28.0
dish_1558457530.png;16.0;0.192;3.2;1.152;64.0
dish_1563477736.png;277.047.302;14.928.542;15.535.334;20.962.175;234.0
dish_1558725193.png;763.092.041;65.340.004;29.964.001;29.568.001;132.0
dish_1558630814.png;196.554.001;16.83;7.718;7.616;34.0
dish_1559233102.png;183.520.004;13.64;1.984;12.400.001;124.0
dish_1558461431.png;1.15;0.02;0.18;0.145;5.0
dish_1567021799.png;9.381.813;8.914.966;3.059.988;1.823.886;76.0
dish_1565637162.png;581.508.667;3.307.954;26.089.733;41.841.675;286.0
dish_1566414924.png;247.482.193;17.619.051;20.417.046;4.710.957;227.0
dish_1567525712.png;510.544.769;4.046.138;3.297.702;6.916.218;184.0
dish_1558115011.png;115.620.003;9.9;4.54;4.48;20.0
dish_1561739576.png;63.84;0.0;15.120.001;0.84;84.0
dish_1568401167.png;426.360.016;20.976;20.976;36.936.001;228.0
dish_1562872662.png;13.321.582;1.502.996;5.005.394;15.617.198;122.0
dish_1562010369.png;141.166.443;8.450.825;1.970.436;13.519.394;69.0
dish_1561579902.png;406.397.736;24.016.941;9.004.458;37.768.024;247.0
dish_1558719570.png;74.360.001;0.286;20.02;0.429;143.0
dish_1565640549.png;45.482.903;1.568.471;7.043.886;2.641.478;139.0
dish_1562786103.png;93.081.001;3.363;13.965;2.337;57.0
dish_1559849097.png;495.928.009;29.044.003;55.626.003;14.261.001;325.0
